name,1948-2023,average,is_increasing_name,is_timeless_name,if_jew_girls_muslim_girls_common,if_jew_boys_jew_girls,is_common_name,international_score,bible_score,nature_score,art_score,syllabels_score,light_score
שפרה,4266,0.0011306729671610577,1,1,0.0,0.0,1.0,0.0,1,0.5,0.2,2,0
דבורה,18570,0.005141756347414893,1,1,0.0,0.0,1.0,0.6,1,1,0.2,3,0
רבקה,41417,0.011207683169677051,1,1,0.0,0.0,1.0,1.0,1,0.2,0.2,3,0
חוה,10094,0.0027127370048729478,1,1,0.0,0.0,1.0,0.6,1,1,0.2,2,0
יוכבד,5757,0.0015643431113211814,1,1,0.0,0.0,1.0,0.0,1,0.2,0.0,3,0
חנה,45575,0.012436374558579297,1,1,0.0,0.0,1.0,1.0,1,0.2,0.2,2,0
דניאלה,9158,0.0024521049598124427,0,1,0.0,0.0,1.0,1.0,0.7,0,0.2,4,0
נחמה,11202,0.0028989170059677983,1,1,0.0,0.0,1.0,0.2,0.8,0,0.3,3,0
מרים,45170,0.01269961082955177,1,1,1.0,0.0,1.0,1.0,1,0.2,0.2,2,0
חיה,28998,0.007477034519671663,1,1,0.0,0.0,1.0,0.5,1,1,0.0,2,0
רוחמה,2726,0.0007716114427010369,0,1,0.0,0.0,0.0,0.0,0.8,0.5,0.5,3,0
גולדה,2200,0.0005789188279762245,1,1,0.0,0.0,0.0,0.3,0.4,0,0.2,2,0
ברכה,11070,0.0029211686613416724,1,1,0.0,0.0,1.0,0.0,0.8,0.3,0.2,2,0.2
נעמי,19188,0.00496165079205476,0,1,0.0,0.0,1.0,1.0,1,0,0.5,3,0
לאה,27315,0.0075453150171332665,1,1,0.0,0.0,1.0,0.6,1,0,0.2,2,0
בתיה,9261,0.0025484629724907477,1,1,0.0,0.0,1.0,0.0,0.8,0,0.0,3,0
עדינה,3779,0.0010453526135020443,1,1,0.0,0.0,1.0,0.4,0.4,0.2,0.6,3,0
תמר,45647,0.011552803522149263,0,1,0.0,0.0,1.0,0.5,1,1,0.5,2,0
רחל,58279,0.016596819262347507,1,1,0.0,0.0,1.0,1.0,1,0.5,0.5,2,0
אסתר,58201,0.016489245042922606,1,1,0.0,0.0,1.0,1.0,1,0.2,0.5,2,0.6
יעל,52200,0.013719901493924441,0,1,0.0,0.0,1.0,0.5,1,1,0.2,2,0
שרה,59249,0.016076017630494953,1,1,0.0,0.0,1.0,1.0,1,0,0.2,2,0
מלכה,19063,0.005181948874398118,1,1,0.0,0.0,1.0,0.3,0.8,0,0.2,2,0
ליאנה,1141,0.0003190377114673793,0,1,1.0,0.0,0.0,0.6,0.2,0.5,0.5,3,0.5
מיכל,49514,0.01346857091562327,0,1,0.0,0.0,1.0,0.6,1,0,0.5,2,0
רות,28054,0.007683000682154756,1,1,0.0,0.0,1.0,1.0,1,0.5,0.5,1,0
מישל,4488,0.001211124157041268,0,1,0.0,0.0,1.0,1.0,0.2,0,0.5,2,0
בת ציון,396,9.993482779015498e-05,0,1,0.0,0.0,0.0,0.0,0.8,0.2,0.2,4,0
בינה,803,0.00022472935454802685,1,1,0.0,0.0,0.0,0.0,0.8,0,0.2,2,0.2
בת שבע,7793,0.002111220634311467,0,1,0.0,0.0,1.0,0.5,1,0.2,0.5,3,0
עטרה,2089,0.0005407945081527901,1,1,0.0,0.0,0.0,0.0,0.4,0.2,0.6,3,0
אליסה,1524,0.0004001541374480125,0,1,0.0,0.0,0.0,1.0,0.2,0,0.5,3,0
צביה,4825,0.0013913524682005916,1,1,0.0,0.0,1.0,0.0,0.8,1,0.2,2,0
יהודית,22153,0.006217421830998076,1,1,0.0,0.0,1.0,0.5,1,0,0.2,3,0
רעיה,2261,0.0006486848676194451,0,1,0.0,0.0,0.0,0.0,0.4,0.2,0.2,3,0
סופי,1590,0.0004528023771963619,0,1,0.0,0.0,0.0,1.0,0.2,0,0.2,2,0
אלה,25544,0.0066015078391815476,1,1,0.0,0.0,1.0,0.6,0.8,1,0.5,2,0
אווה,3792,0.0010629384257361074,0,1,0.0,0.0,1.0,0.8,1,0.5,0.5,2,0
צפורה,14795,0.004268380716938414,1,1,0.0,0.0,1.0,0.0,1,0.5,0.0,3,0
הינדא,1979,0.000489033518423128,1,1,0.0,0.0,1.0,0.0,0,-1,0.0,3,0
איילין,366,8.831584480107217e-05,1,1,1.0,0.0,0.0,0.5,0.2,0.5,0.5,3,0
ג'וי,302,7.358998632976922e-05,1,1,0.0,0.0,0.0,1.0,0,0,0.5,2,0
טובה,8000,0.0022924959491036215,1,1,0.0,0.0,1.0,0.5,0.8,0,0.2,2,0
יקירה,325,7.218038187937856e-05,0,1,0.0,0.0,0.0,0.0,0.4,0,0.6,3,0
אנני,193,4.882213817511773e-05,1,1,0.0,0.0,0.0,0.8,0.2,0,0.5,3,0
הדסה,11768,0.002887381602824083,1,1,0.0,0.0,1.0,0.0,1,1,0.2,3,0
שלוה,311,7.976952308064048e-05,0,1,0.0,0.0,0.0,0.0,0.4,0.3,0.6,2,0
גבריאלה,2228,0.000648860191758411,0,1,0.0,0.0,0.0,0.8,0.4,0,0.5,4,0
טובי,549,0.00014195994880525438,1,1,0.0,0.0,0.0,0.0,0.5,0,0.0,2,0
אלמז,342,8.162279349985862e-05,1,1,0.0,0.0,0.0,0.0,0,0.2,0.2,2,0
איטה,1464,0.0003968220515859077,1,1,0.0,0.0,0.0,0.0,0.4,0,0.0,2,0
גולדי,353,8.563935550714911e-05,1,1,0.0,0.0,0.0,0.0,0,0,0.0,3,0
רפאלה,330,7.911533630555227e-05,0,1,0.0,0.0,0.0,0.6,0.7,0.2,0.5,3,0.5
ארינה,364,8.917661959512453e-05,0,1,0.0,0.0,0.0,0.6,0.2,0,0.5,3,0
תרצה,1242,0.0003631454677291831,0,1,0.0,0.0,0.0,0.0,0.7,0.2,0.5,2,0
מינדי,336,8.236327526499013e-05,0,1,0.0,0.0,0.0,0.6,0,0,0.0,2,0
ביילה,232,5.6763685143087804e-05,1,1,0.0,0.0,0.0,0.0,0.4,0,0.2,2,0
שינדל,295,7.322600690520123e-05,1,1,0.0,0.0,0.0,0.0,0.2,0,0.0,2,0
שרי,2486,0.0007128205975034437,0,1,0.0,0.0,0.0,0.5,0.4,0,0.5,2,0
סופיה,7283,0.002141435660277724,0,1,0.0,0.0,1.0,1.0,0,0,0.6,3,0.6
פנינה,9922,0.002964743903825232,1,1,0.0,0.0,1.0,0.2,0.8,0.5,0.6,3,0.2
מילכה,605,0.00015616786918698226,1,1,0.0,0.0,0.0,0.0,0.4,0,0.0,3,0
הניה,1392,0.00037715153151777147,1,1,0.0,0.0,0.0,0.0,0.7,0,0.0,3,0
שיינה,547,0.0001379155198882697,1,1,0.0,0.0,0.0,0.0,0.4,0,0.5,2,0
לולה,284,7.248566716965429e-05,0,1,0.0,0.0,0.0,0.6,0.4,0.3,0.5,2,0
פרי,344,8.75610798745543e-05,1,1,0.0,1.0,0.0,0.0,0.4,1,0.2,1,0
אליס,2840,0.000833943969473005,0,1,1.0,0.0,0.0,1.0,0,0,0.5,2,0.5
מארי,283,7.5360779725095e-05,1,1,0.0,0.0,0.0,0.6,0.2,0.2,0.5,2,0
חדוה,2939,0.0008663355425081547,0,1,0.0,0.0,0.0,0.0,0.7,0.2,0.5,2,0
בת,3447,0.0008533839739933687,0,1,0.0,0.0,1.0,0.0,0.4,0,0.0,1,0
נגה,13220,0.0031481399579209495,0,1,0.0,0.0,1.0,0.3,0.4,0.8,0.6,2,1
קירה,492,0.0001257540175625265,0,1,0.0,0.0,0.0,0.8,0,0,0.5,2,0.5
תחיה,742,0.00019182730187549006,1,1,0.0,0.0,0.0,0.0,0.7,0.5,0.0,2,0
אלזה,345,8.688667855172812e-05,0,1,0.0,0.0,0.0,0.6,0.2,0,0.2,3,0
אסתי,1177,0.00032983509722527015,1,1,0.0,0.0,0.0,0.5,1,0,0.2,2,0
ליילה,289,7.478024555716598e-05,1,1,1.0,0.0,0.0,0.6,0.4,0.8,0.6,2,0.2
מרגלית,4206,0.0012455881387373933,0,1,0.0,0.0,0.0,0.0,0.5,1,0.6,3,0.2
אורה,5642,0.0016647927333282735,1,1,0.0,0.0,1.0,0.6,0.8,0.5,0.5,2,1
צירל,545,0.00012858618940717447,0,1,0.0,0.0,0.0,0.0,0.2,0,-1.0,2,0
ורוניקה,1521,0.00043000464522977065,0,1,0.0,0.0,0.0,1.0,0,0.2,0.5,4,0.2
רובי,419,0.0001005865624676864,1,1,0.0,0.0,0.0,0.6,0.5,0.5,0.5,2,0.2
תמרה,4764,0.0013777209984446395,0,1,0.0,0.0,1.0,0.4,0.7,1,0.5,3,0
פרומה,830,0.00021606587272428218,1,1,0.0,0.0,0.0,0.0,0.4,0.2,0.0,3,0
גליה,4276,0.0012522618675006212,0,1,0.0,0.0,0.0,0.4,0.4,0.8,0.5,2,0
אביטל,10392,0.0027012507309860205,1,1,0.0,0.0,1.0,0.3,0.7,0.3,0.2,3,0
מאיה,42797,0.010523995218625966,0,1,0.0,0.0,1.0,1.0,0.2,0.6,0.5,2,0
איה,3300,0.0008362080582507089,0,1,0.0,0.0,0.0,0.0,0.4,0.5,0.2,2,0
בלומה,2386,0.0005838364975661873,1,1,0.0,0.0,1.0,0.0,0.4,1,0.5,3,0
שולמית,11392,0.0033802147476599403,1,1,0.0,0.0,1.0,0.0,0.8,0.5,0.5,3,0
איילה,24871,0.005887308922769249,1,1,0.0,0.0,1.0,0.5,0.7,1,0.6,3,0
פרל,512,0.00013793623388030893,0,1,0.0,0.0,0.0,0.5,0.2,0.6,0.5,1,0.5
אנה,15318,0.00450100205302533,0,1,0.0,0.0,1.0,1.0,0.4,0,0.2,2,0
לורין,516,0.00012743410841034304,0,1,0.0,0.0,0.0,0.8,0,0.3,0.5,2,0
לילה,648,0.00017544263180139995,1,1,0.0,0.0,0.0,0.6,0.4,0.9,0.6,2,0
שילה,667,0.00017582065847163812,0,1,0.0,0.0,0.0,0.5,1,0.2,0.0,2,0
רוז,613,0.00016661375773746842,1,1,0.0,0.0,0.0,1.0,0.2,1,0.7,1,0
ניקול,4767,0.0012864398193442354,0,1,0.0,0.0,0.0,1.0,0,0,0.0,2,0
אליזה,368,0.00010095905488682931,0,1,0.0,0.0,0.0,1.0,0.4,0,0.5,3,0
יעלי,496,0.00012095366952905885,0,1,0.0,0.0,0.0,0.0,0.4,1,0.5,3,0
סאלי,400,0.00010726278532561693,1,1,0.0,0.0,0.0,0.8,0,0,0.0,2,0
נעומי,724,0.00019067914926124198,0,1,0.0,0.0,0.0,0.8,1,0.2,0.5,3,0
אלישבע,9542,0.0022705532225388947,1,1,0.0,0.0,1.0,0.4,1,0,0.0,4,0
אריקה,689,0.00019307533178905846,0,1,0.0,0.0,0.0,1.0,0,0.2,0.0,3,0
נלי,1842,0.0005278819162589201,1,1,0.0,0.0,0.0,0.6,0.4,0.2,0.2,2,0
ליאה,1480,0.0003532159381022848,0,1,0.0,0.0,0.0,0.8,1,0,0.2,2,0
אריאנה,364,9.118943862825246e-05,1,1,1.0,0.0,0.0,1.0,0,0.2,0.5,4,0.2
זלדה,357,9.633967255520031e-05,1,1,0.0,0.0,0.0,0.2,0.4,0,1.0,2,0
אליזבט,2239,0.0006618687528741695,0,1,0.0,0.0,0.0,1.0,0.4,0,0.2,4,0
מלאני,439,0.00010808011149442821,1,1,0.0,0.0,0.0,1.0,0,0.2,0.5,3,0
שושנה,20877,0.006294314615080938,1,1,0.0,0.0,1.0,0.5,0.8,1,0.8,3,0
רונה,3460,0.0008347015312115399,1,1,0.0,0.0,1.0,0.5,0.7,0.6,0.6,2,0
חני,2022,0.0005852442530155031,0,1,0.0,0.0,0.0,0.0,0.7,0,0.0,2,0
הלן,1898,0.0005759120268559616,1,1,0.0,0.0,0.0,1.0,0,0,0.5,2,1
אהובה,4628,0.001373097239650971,1,1,0.0,0.0,0.0,0.0,0.5,0,0.6,3,0
ליבה,416,0.00010166128663139055,1,1,0.0,0.0,0.0,0.0,0.4,0.2,0.5,2,0.2
מאירה,1604,0.00048526479961975014,1,1,0.0,0.0,0.0,0.2,0.7,0.5,0.6,3,1
צופיה,3093,0.000758533768235851,0,1,0.0,0.0,1.0,0.0,0.4,0.5,0.0,3,0
דינה,11094,0.0033606362654738874,1,1,0.0,0.0,1.0,1.0,1,0,0.0,2,0
מירל,767,0.00018353457399395424,1,1,0.0,0.0,0.0,0.0,0.4,0.4,0.0,2,0
רחלי,3983,0.001142672219046084,0,1,0.0,0.0,0.0,0.2,0.8,0.2,0.0,3,0
רינה,7610,0.0023361409193889656,1,1,1.0,0.0,0.0,0.6,0.7,0.2,1.0,2,0
אוליביה,560,0.00013616757180185605,1,1,0.0,0.0,0.0,1.0,0,1,0.5,4,0
בילה,446,0.00012407572184491408,0,1,1.0,0.0,0.0,0.0,0.4,0,0.0,2,0
אמי,1391,0.0003361491372114613,1,1,0.0,0.0,1.0,0.6,0.4,0,0.0,2,0
קרולינה,504,0.0001349587373045367,0,1,0.0,0.0,0.0,1.0,0,0.2,0.5,4,0
אלונה,4822,0.0012594310919786654,0,1,0.0,0.0,1.0,0.5,0.4,0.8,0.5,3,0
קמילה,471,0.00012491083610176334,0,1,0.0,0.0,0.0,0.6,0,0.8,0.5,3,0
גיטל,3645,0.0008786944217672953,1,1,0.0,0.0,1.0,0.0,0.4,0,0.2,2,0
שלי,8370,0.002260475790835914,0,1,0.0,0.0,0.0,0.0,0.2,0,0.0,2,0
נילי,3538,0.0010479146560331777,1,1,0.0,0.0,0.0,0.4,0.4,0.5,0.5,2,0.5
עמליה,2588,0.0006764957240071172,1,1,0.0,0.0,1.0,0.6,0.4,0,0.2,3,0
מינדל,603,0.00014838155529813083,1,1,0.0,0.0,0.0,0.0,0.2,0,0.0,2,0
גילה,7700,0.002374378748491668,1,1,0.0,0.0,0.0,0.5,0.5,0.2,0.5,2,0.2
שירין,380,0.00010018855576864292,0,1,0.0,0.0,0.0,0.3,0.2,0.5,1.0,2,0
סלין,536,0.00013990597652896791,1,1,0.0,0.0,0.0,1.0,0,0.2,0.7,2,0.5
נאוה,5493,0.0017029964703143537,1,1,0.0,0.0,0.0,0.0,0.4,0.5,0.6,2,0
גיטי,713,0.0001657725377578929,1,1,0.0,0.0,0.0,0.0,0.4,0,0.5,2,0
אפרת,22304,0.005781136670808484,0,1,0.0,0.0,1.0,0.0,1,0.6,0.0,2,0
חסיה,609,0.000169779187116114,1,1,0.0,0.0,0.0,0.0,0.7,0,0.0,3,0
אילת,4447,0.001288943656683926,1,1,0.0,0.0,0.0,0.0,0.7,1,0.2,2,0
פסיה,965,0.0002571949264639606,1,1,0.0,0.0,0.0,0.0,0.4,0,0.0,3,0
אוולין,719,0.00019156428700167904,0,1,0.0,0.0,0.0,1.0,0,0.2,0.5,3,0
אטל,396,0.00011029017250039842,0,1,0.0,0.0,0.0,0.0,0,0.9,0.0,1,0
סימה,6278,0.0019184399751015406,1,1,0.0,0.0,0.0,0.4,0.4,0,0.0,2,0
מלי,2877,0.0008395969553192163,1,1,0.0,0.0,0.0,0.5,0.4,0,0.2,2,0
לורי,665,0.0001817449310973431,1,1,0.0,0.0,0.0,0.6,0.2,0,0.5,2,0
ליאורה,5965,0.001797648203418808,0,1,0.0,0.0,0.0,0.2,0.4,0.3,0.6,3,1
אליאנה,664,0.0001513497545540395,1,1,1.0,0.0,0.0,0.7,0.7,0.2,0.5,4,0.5
אליסיה,393,0.00011355855130630241,0,1,0.0,0.0,0.0,0.8,0,0.2,0.5,4,0
אמיליה,2040,0.0005050433139673456,1,1,0.0,0.0,1.0,1.0,0,0.2,0.5,4,0
טוני,479,0.00013817947449443018,1,1,0.0,0.0,0.0,1.0,0,0,0.2,2,0
אלכסנדרה,4373,0.0012558490487186247,0,1,0.0,0.0,0.0,1.0,0,0,0.5,4,0
צהלה,283,8.14598447943601e-05,1,1,0.0,0.0,0.0,0.0,0.4,0.8,0.5,3,0.2
מאשה,555,0.0001563012596056931,1,1,0.0,0.0,0.0,0.8,0.4,0,0.5,2,0
דפנה,7365,0.002207109197267782,0,1,0.0,0.0,0.0,0.5,0.7,1,0.5,2,0
אלקה,391,0.00011027170073104589,1,1,0.0,0.0,0.0,0.0,0.4,0,0.0,3,0
מנוחה,1341,0.000327319189361418,1,1,0.0,0.0,0.0,0.0,0.7,0.2,0.2,3,0
אריאלה,4368,0.001339706446807833,0,1,0.0,0.0,0.0,0.6,0.7,0.2,0.6,4,0
לילי,2946,0.0008539142330710029,1,1,0.0,0.0,1.0,1.0,0.4,1,0.6,2,0.5
נינה,4002,0.0011664693040952829,0,1,0.0,0.0,1.0,1.0,0.4,0.2,0.5,2,0
רייזל,1438,0.0003502633307958441,0,1,0.0,0.0,0.0,0.0,0.4,0,0.0,2,0
עתליה,614,0.0001649136827868756,0,1,0.0,0.0,0.0,0.0,0.8,0.5,0.2,3,0
מוריאל,986,0.0002742951484092088,1,1,0.0,0.0,0.0,0.4,0.4,0.2,0.5,3,0.5
גיטה,884,0.0002584006489169319,1,1,0.0,0.0,0.0,0.3,0.4,0,0.5,2,0
אלין,4277,0.0009754513089508369,0,1,0.0,0.0,1.0,0.6,0.2,0.2,0.5,2,0.5
זוהרה,819,0.00024075464553525346,1,1,1.0,0.0,0.0,0.4,0.4,0.5,0.6,3,1
נעמה,15373,0.003864943666872138,0,1,0.0,0.0,1.0,0.4,0.8,0.3,0.6,3,0
רוזי,704,0.00020658862035334723,1,1,0.0,0.0,0.0,0.8,0,1,0.5,2,0
ימימה,355,0.00010151557663346715,0,1,0.0,0.0,0.0,0.0,0.4,1,0.5,3,0
פיגא,4638,0.0011035310774957258,1,1,0.0,0.0,1.0,-1.0,0,-1,0.0,2,0
לנה,725,0.00020292536390835572,1,1,0.0,0.0,0.0,1.0,0.4,0.5,0.5,2,0
נסיה,768,0.00017797610345034903,1,1,0.0,0.0,0.0,0.0,0.4,0,0.0,3,0
רשל,578,0.000172350009990998,1,1,0.0,0.0,0.0,0.0,0,0,0.0,-1,0
הדס,14857,0.0037788408639150804,0,1,0.0,0.0,1.0,0.0,0.8,1,0.2,1,0
טליה,26164,0.006206110541197722,0,1,0.0,0.0,1.0,0.5,0.4,0.9,0.2,3,0.5
מיכאלה,2994,0.0007059375788169845,1,1,0.0,0.0,1.0,0.8,0.4,0,0.5,3,0
מינה,1507,0.00045221232330767584,0,1,0.0,0.0,0.0,0.6,0.4,0,0.0,2,0
ג'וליה,772,0.00021284270070760533,0,1,0.0,0.0,0.0,1.0,0,0,0.6,3,0.2
אסנת,5110,0.0015633894543154892,0,1,0.0,0.0,0.0,0.0,0.8,0,0.0,2,0
רנה,1987,0.0005782195052048575,1,1,0.0,0.0,0.0,0.8,0.5,0.2,1.0,2,0
נטע,13607,0.0033755046037368896,0,1,0.0,0.0,1.0,0.0,0.7,1,0.5,2,0
חמדה,603,0.00018106487584603807,1,1,0.0,0.0,0.0,0.0,0.7,0,0.6,3,0
קטרין,810,0.00023970359453366012,0,1,1.0,0.0,0.0,1.0,0,0,0.5,3,0.2
לוסי,511,0.00014849954193593622,1,1,1.0,0.0,0.0,1.0,0,0,0.5,2,1
גאולה,2640,0.0008277434325996993,1,1,0.0,0.0,0.0,0.0,0.8,0,0.2,3,0
ג'ולי,812,0.0002388110473775871,0,1,0.0,0.0,0.0,1.0,0,0,0.5,2,0
זוהר,7525,0.0018612032013133014,0,1,0.0,1.0,1.0,0.3,0.7,0.8,0.6,2,1
אביגיל,24324,0.005530771054923703,1,1,0.0,0.0,1.0,0.8,1,0.2,0.5,3,0
שמחה,6485,0.0020174286089891047,1,1,0.0,0.0,0.0,0.0,0.8,0,0.5,2,0
דיאנה,5101,0.0014992243859678698,0,1,0.0,0.0,0.0,1.0,0,0.5,0.6,3,0.2
מילי,1244,0.000296383145909292,1,1,0.0,0.0,0.0,0.4,0.3,0,0.0,2,0
תהלה,1099,0.00026587170704246363,1,1,0.0,0.0,0.0,0.0,0.8,0.2,1.0,3,0.6
רותי,3426,0.0010700566189263828,0,1,0.0,0.0,0.0,0.6,0.8,0.5,0.2,2,0
שיינדל,1457,0.00034004790981882505,1,1,0.0,0.0,0.0,0.0,0.4,0,0.0,2,0
הלה,723,0.00021321395461124963,1,1,0.0,0.0,0.0,0.0,0,0,0.2,2,0
עדיה,1059,0.0002460376649356738,1,1,0.0,0.0,0.0,0.0,0.8,0,0.2,3,0
קרני,954,0.00021820928284961452,1,1,0.0,0.0,0.0,0.0,0.4,0.5,0.5,2,1
אלינה,4011,0.0011425892741322337,0,1,1.0,0.0,0.0,1.0,0.2,0,0.5,3,0.5
בילא,1373,0.00031837986763651156,1,1,0.0,0.0,0.0,0.0,0.2,-1,-1.0,2,0
יפה,12582,0.003991445437811107,1,1,1.0,0.0,0.0,0.0,0.4,0.2,1.0,2,0
מירי,4119,0.001222387590391505,1,1,0.0,0.0,0.0,0.5,0.7,0.2,0.3,2,0
יליזבטה,984,0.0002788630283323698,0,1,0.0,0.0,0.0,0.8,0.4,0,0.2,4,0
לינה,1071,0.00031740622936426505,1,1,0.0,0.0,0.0,1.0,0.4,0.2,0.5,2,0
מילנה,1226,0.00032829069779706207,0,1,0.0,0.0,0.0,0.6,0,0,-1.0,3,0
רוני,22379,0.005317048443485885,0,1,0.0,0.0,1.0,0.6,0.4,0.2,0.6,2,0.2
כנרת,1535,0.0004340962230905906,0,1,0.0,0.0,0.0,0.0,0.5,1,1.0,3,0
איזבל,795,0.0002330708606686896,0,1,0.0,0.0,0.0,0.8,0.7,0.2,0.5,3,0
ולריה,1567,0.00043860814210516157,0,1,0.0,0.0,0.0,0.6,0,0.2,0.5,3,0
הגר,2994,0.0008293360149949331,0,1,1.0,0.0,0.0,0.3,1,0.2,0.0,1,0
צילה,2186,0.0006809703541368629,0,1,0.0,0.0,0.0,0.0,0.4,0.5,0.5,2,0.2
מריה,5720,0.0016833916879308618,0,1,0.0,0.0,0.0,1.0,0.2,0.2,0.5,3,0
לונה,826,0.00022864353194742068,1,1,0.0,0.0,0.0,1.0,0,1,0.7,2,1
ברוריה,2189,0.0006812004028315824,1,1,0.0,0.0,0.0,0.0,0.8,0,0.2,3,0
סטפני,1044,0.00029005608060619524,0,1,0.0,0.0,0.0,1.0,0,0,0.2,3,0
אלן,729,0.00021881787119939724,1,1,0.0,0.0,0.0,1.0,0,0.2,0.2,2,0
פרידה,2795,0.000861920977389244,0,1,1.0,0.0,0.0,0.6,0,0,0.6,3,0
ציפי,1006,0.00030566065543631836,0,1,0.0,0.0,0.0,0.0,0.4,0.6,0.0,2,0
ליסה,920,0.0002741988400012229,0,1,0.0,0.0,0.0,1.0,0,0,0.3,2,0
עליזה,8908,0.002812031884290768,0,1,0.0,0.0,0.0,0.3,0.4,0.2,0.5,3,0
דניאל,13161,0.0033543150907478364,0,1,0.0,0.0,1.0,1.0,1,0,0.0,3,0.2
אודיה,2392,0.0005740140706320588,1,1,0.0,0.0,1.0,0.0,0.4,0.2,0.5,3,1
לאורה,1211,0.00037033518575595284,0,1,1.0,0.0,0.0,1.0,0.4,0.3,0.6,3,1
בלה,5082,0.0015787077172798411,1,1,0.0,0.0,0.0,0.8,0.4,0.2,0.5,2,0
ויקטוריה,7235,0.0021499016598023157,0,1,0.0,0.0,0.0,1.0,0,0,0.5,4,0
אושרה,1087,0.0003250172902290959,1,1,0.0,0.0,0.0,0.0,0.4,0,0.5,3,0
יעלה,2081,0.0004814365246726165,0,1,0.0,0.0,1.0,0.0,0.7,1,0.5,3,0
גיל,2016,0.0005080992779671189,0,1,0.0,1.0,0.0,0.3,0.4,0.3,0.2,1,0
איב,1055,0.0002410120041169976,1,1,0.0,0.0,1.0,0.0,0.4,0.2,0.0,1,0
איזבלה,1072,0.00032828829247850055,0,1,1.0,0.0,0.0,1.0,0,0.2,0.6,4,0
לורן,2593,0.0006211250741532396,0,1,0.0,0.0,1.0,1.0,0,0.2,0.5,2,0
חגית,9215,0.0027519125685455254,0,1,0.0,0.0,0.0,0.0,0.7,0.5,0.2,2,0
אניטה,906,0.0002806527667609994,0,1,0.0,0.0,0.0,1.0,0,0,0.5,3,0
ישראלה,1154,0.0003569054547411348,1,1,0.0,0.0,0.0,0.0,0.8,0,0.0,3,0
טלי,9469,0.0027047731476811426,0,1,0.0,0.0,0.0,0.4,0.4,0.4,0.2,2,0
פולינה,2819,0.0008531300370183376,0,1,0.0,0.0,0.0,0.8,0,0.2,0.5,3,0
אסיה,1389,0.00040699669907857255,1,1,0.0,0.0,0.0,0.5,0.4,0.2,0.2,3,0
פרלה,887,0.0002651075076551891,0,1,0.0,0.0,0.0,0.5,0.4,0.5,0.6,2,0.5
ריבה,937,0.00029231502915035,1,1,0.0,0.0,0.0,0.0,0.4,0,0.0,2,0
גילי,6298,0.0015271756640022867,0,1,0.0,0.0,1.0,0.0,0.4,0.2,0.2,2,0
מוניקה,1134,0.0003564160009895052,0,1,0.0,0.0,0.0,1.0,0,0,0.5,3,0
אליזבטה,1083,0.00032881140315429975,0,1,0.0,0.0,0.0,1.0,0.4,0,0.5,4,0
ג'ניפר,877,0.0002483912164205137,1,1,0.0,0.0,0.0,1.0,0,0.8,0.2,3,0
זהבה,7993,0.002547062117844736,0,1,0.0,0.0,0.0,0.0,0.8,0.2,0.2,2,1
ולרי,696,0.00021673273846953647,1,1,0.0,0.0,0.0,0.8,0,0.2,0.5,3,0
ג'ני,1181,0.0003447161210572381,1,1,0.0,0.0,0.0,0.6,0,0,0.0,2,0
רננה,2992,0.0007187502581298222,0,1,0.0,0.0,1.0,0.0,0.8,0.6,1.0,3,0.2
בת חן,1357,0.000371422742362222,0,1,0.0,0.0,0.0,0.0,0.4,0,0.6,3,0
אליאן,2342,0.0005404560107386469,0,1,0.0,0.0,1.0,0.6,0.4,0.2,0.0,3,0
הלנה,1350,0.00041941723633006365,0,1,1.0,0.0,0.0,1.0,0.2,0,0.5,3,1
סול,1869,0.0004485255340814256,1,1,0.0,0.0,1.0,0.6,0,0.8,0.7,1,1
אמה,8968,0.001967462273332585,0,1,0.0,0.0,1.0,1.0,0.4,0.2,0.2,2,0
ליז,1316,0.0003658757086727276,0,1,0.0,0.0,0.0,0.8,0.2,0,0.2,1,0
איימי,1461,0.0003215379582403088,1,1,0.0,0.0,1.0,1.0,0,0,0.5,2,0
ליה,14626,0.0032015278639800785,0,1,0.0,0.0,1.0,0.6,0.8,0,0.5,2,0
מריאנה,1603,0.00048082163309433285,1,1,0.0,0.0,0.0,1.0,0,0.3,0.5,4,0
חלי,1226,0.0003500476360000644,1,1,0.0,0.0,0.0,0.2,0.2,0,0.0,2,0
דנה,15578,0.004304450259268769,0,1,0.0,0.0,0.0,1.0,0.7,0,0.0,2,0
סטלה,1441,0.00045133338184850854,1,1,0.0,0.0,0.0,1.0,0,0.8,0.6,2,1
לין,2249,0.0005739926036217982,1,1,0.0,0.0,0.0,0.8,0.2,0.2,0.5,1,0
מזל,11239,0.0035500059778990215,0,1,0.0,0.0,0.0,0.0,0.4,0.2,0.2,2,0
קרינה,1419,0.0004049416767660988,0,1,1.0,0.0,0.0,0.4,0,0.3,0.5,3,1
יונית,1582,0.0004578015015552671,0,1,0.0,0.0,0.0,0.0,0.4,0.6,0.5,3,0
תהילה,15713,0.003767571514820942,0,1,0.0,0.0,1.0,0.3,1,0,0.8,3,0.2
חביבה,1020,0.00031835916016879467,1,1,0.0,0.0,0.0,0.0,0.4,0,0.5,3,0
אביבה,6595,0.0020977470437307673,1,1,0.0,0.0,0.0,0.0,0.4,0.6,0.5,3,0
ליבנת,1455,0.00041047293273343535,0,1,0.0,0.0,0.0,0.0,0.4,0.6,0.0,3,0
ליזה,2127,0.0006413748250770839,0,1,1.0,0.0,0.0,1.0,0.4,0,0.5,2,0
